full_title,guest,length,views,likes,dislikes,date,comments_num,likes/dislikes,views/likes,views/comments_num
"Соболев - о Путине, митингах и сексе",Соболев ,59,7864709,156000.0,44000.0,2017-04-04,18926,3.5454545454545454,50.41480128205128,415.5505125224559
"Деревянко – депрессия, Венесуэла, фрилав",Деревянко ,86,7570124,218000.0,22000.0,2020-05-19,24919,9.909090909090908,34.72533944954129,303.78923712829567
"Бурунов - ЦСКА, Ди Каприо, психотерапевт",Бурунов ,63,17960091,477000.0,19000.0,2018-12-05,39578,25.105263157894736,37.65218238993711,453.78975693567133
Иван Дорн - об оттепели и Егоре Криде,Иван Дорн ,57,5906720,113000.0,13000.0,2017-04-11,7900,8.692307692307692,52.27185840707965,747.6860759493671
Балабанов - гениальный русский режиссер,Балабанов ,130,7786295,192000.0,8600.0,2018-05-15,14694,22.325581395348838,40.55361979166667,529.8962161426433
Олег Табаков: как он воспитывал свободных людей,Олег Табаков,79,3141139,97000.0,8100.0,2018-11-20,8057,11.975308641975309,32.382876288659794,389.86458979769145
"BadComedian - о Бондарчуке, Саше Грей и 10 лучших русских фильмах",BadComedian ,63,16260331,462000.0,23000.0,2017-05-10,35398,20.08695652173913,35.19552164502164,459.3573365726877
Антоха. Путешествие из Магадана в Европу,Антоха,99,7685393,345000.0,13000.0,2019-12-17,44961,26.53846153846154,22.27650144927536,170.93465447832565
"Монеточка – новая жизнь, новый дом, новый альбом",Монеточка ,102,6406473,198000.0,32000.0,2020-10-19,31200,6.1875,32.355924242424244,205.3356730769231
Навальные – интервью после отравления,Навальные ,140,20381793,1000000.0,55000.0,2020-10-05,216930,18.181818181818183,20.381793,93.95562162909694
"Александр Паль - о ""Горько"", Бодрове и самой жесткой драке",Александр Паль ,59,7560027,176000.0,10000.0,2017-08-01,17469,17.6,42.95469886363637,432.76816074188565
"Чичваркин #1 - о Медведеве, контрабанде и дружбе с Сурковым",Чичваркин #1 ,64,8725216,165000.0,13000.0,2017-07-25,12515,12.692307692307692,52.88009696969697,697.180663204155
"Гуриев - пенсионная реформа, демедведизация, доллар",Гуриев ,74,14182881,501000.0,20000.0,2019-10-01,59591,25.05,28.30914371257485,238.00374217583192
GONE.Fludd - главное рэп-открытие года,GONE.Fludd ,63,8876187,363000.0,36000.0,2018-10-23,54454,10.083333333333334,24.45230578512397,163.0033973629118
"L'One - о баттле с Оксимироном, Украине и Фараоне",L'One ,47,4581259,93000.0,12000.0,2017-02-14,5508,7.75,49.26084946236559,831.7463689179375
"Навальный - о революции, Кавказе и Спартаке",Навальный ,65,21070542,497000.0,42000.0,2017-04-18,53261,11.833333333333334,42.395456740442654,395.6092074876551
"Pharaoh - суки, слава, стиль",Pharaoh ,70,13657077,405000.0,64000.0,2018-10-02,45466,6.328125,33.721177777777775,300.3799982404434
Амиран (Дневник Хача) - сколько он зарабатывает,Амиран (Дневник Хача) ,49,10210625,231000.0,17000.0,2017-03-13,24066,13.588235294117647,44.20183982683983,424.27594947228454
"Парфенов - о преемнике, Серебренникове и мате",Парфенов ,59,5785108,145000.0,7100.0,2017-10-06,13186,20.422535211267604,39.89729655172414,438.7310784165023
"Толоконникова - бисексуальность, FACE, тюрьма",Толоконникова ,87,9945648,192000.0,84000.0,2018-10-10,43613,2.2857142857142856,51.80025,228.04319812899823
"Цекало - «Норд-Ост», маньяки, выборы",Цекало ,71,6667810,123000.0,18000.0,2018-04-10,19518,6.833333333333333,54.209837398373985,341.62362947023263
